cdscode,county,district,school,latitude,longitude,graduation_rate,low_grad_rate,still_enrolled_rate,chronicabsenteeismrate,unexcused_absences_percent,met_uccsu_grad_reqs_rate,percent__eligible_free_k12,frpm_count_k12,stu_tch_ratio,pct_experienced,cohortstudents,pct_senior_cohort,stu_adm_ratio,grade_retention_ratio,pct_bachelors_plus,stu_psv_ratio,pct_bachelors
01611190130229,Alameda,Alameda Unified,Alameda High,37.764958,-122.24593,92.4,0,1.0,12.7,23.5,73.9,0.1720132743362832,327.0,23.3,0.8631578947368421,394.0,0.49889380530973454,452.0,1.0585683297180044,0.3157894736842105,361.6,0.12631578947368421
01611270130450,Alameda,Albany City Unified,Albany High,37.896661,-122.29257,95.1,0,0.0,70.3,46.2,67.8,0.17438921651221567,307.0,22.0,0.894522892597347,284.0,0.5012636899747261,414.0,0.9967213114754099,0.26413324544947525,274.7,0.16666666666666666
01611430131177,Alameda,Berkeley Unified,Berkeley High,37.868913,-122.27120,90.5,0,0.8,5.2,24.1,62.3,0.26225946617008067,935.0,19.2,0.8559322033898306,861.0,0.4962756052141527,374.7,1.0149068322981367,0.1483050847457627,228.7,0.4279661016949153
01611500132225,Alameda,Castro Valley Unified,Castro Valley High,37.705184,-122.07847,96.4,0,0.0,3.5,28.0,72.8,0.1663579103371619,491.0,22.6,0.912751677852349,672.0,0.4701741385698407,396.9,0.8298755186721992,0.31543624161073824,178.2,0.18791946308724833
01611680132746,Alameda,Emery Unified,Emery Secondary,37.835405,-122.28270,95.0,0,0.0,29.6,67.9,76.3,0.5511363636363636,102.0,11.6,1.0,40.0,0.5454545454545454,176.0,1.170731707317073,0.16666666666666666,274.7,0.3333333333333333
01611760130062,Alameda,Fremont Unified,American High,37.563645,-122.01747,94.4,0,0.0,2.3,10.8,73.6,0.13838223632038066,371.0,25.2,0.7777777777777778,574.0,0.500396510705789,560.4,0.9422492401215805,0.0,442.5,0.41025641025641024
01611760134270,Alameda,Fremont Unified,Irvington High,37.522654,-121.96902,95.1,0,0.0,2.1,22.2,75.0,0.14427645788336932,366.0,25.4,0.8440366972477065,548.0,0.4976241900647948,514.4,0.9912434325744308,0.0,445.2,0.3761467889908257
01611760134452,Alameda,Fremont Unified,John F. Kennedy High,37.528399,-121.98312,91.1,0,0.0,4.6,20.8,26.0,0.3105022831050228,462.0,20.5,0.7866666666666666,350.0,0.5136986301369864,328.5,1.0480769230769231,0.0,273.8,0.4533333333333333
01611760135244,Alameda,Fremont Unified,Mission San Jose High,37.545040,-121.93193,96.5,0,0.0,1.4,4.5,67.9,0.0654490106544901,138.0,24.1,0.8,485.0,0.526128868594622,492.8,1.2415349887133182,0.0,428.5,0.3894736842105263
01611760138693,Alameda,Fremont Unified,Washington High,37.552082,-121.99484,93.9,0,0.0,6.5,23.6,66.6,0.23826714801444043,498.0,23.8,0.7872340425531915,443.0,0.5038679731820526,484.8,0.9430255402750491,0.0,412.6,0.40425531914893614
01611920133629,Alameda,Hayward Unified,Hayward High,37.672677,-122.06992,90.6,0,0.3,14.7,34.0,50.3,0.4380315917375456,776.0,20.3,0.9203539823008849,371.0,0.45504252733900363,329.2,0.8710462287104623,0.0,235.1,0.5221238938053098
01611920135319,Alameda,Hayward Unified,Mt. Eden High,37.625313,-122.09056,87.3,1,2.7,20.7,43.5,50.7,0.4059763008758372,917.0,20.6,0.9076923076923077,411.0,0.515713549716641,485.3,1.0418502202643172,0.0,236.7,0.47692307692307695
01611920138339,Alameda,Hayward Unified,Tennyson High,37.642546,-122.06596,63.4,1,5.5,22.4,52.1,38.6,0.5554799183117767,885.0,17.2,0.8688524590163934,380.0,0.5187202178352621,293.8,1.0174418604651163,0.0,244.8,0.4672131147540984
01612000133397,Alameda,Livermore Valley Joint Unified,Granada High,37.675206,-121.78984,98.3,0,0.4,1.1,21.4,60.6,0.14335511982570806,350.0,22.2,0.888,524.0,0.4849673202614379,463.6,0.9669565217391304,0.416,276.5,0.056
01612000134536,Alameda,Livermore Valley Joint Unified,Livermore High,37.680526,-121.76173,96.3,0,0.2,5.9,21.3,56.0,0.19597989949748743,368.0,22.6,0.9405940594059405,434.0,0.46063651591289784,365.5,0.8658008658008658,0.40594059405940597,262.6,0.019801980198019802
01612340130054,Alameda,Newark Unified,Newark Memorial High,37.522095,-122.00175,90.1,0,3.1,7.5,47.3,46.9,0.35495716034271724,632.0,25.0,0.5384615384615384,414.0,0.4804161566707466,430.0,0.9202898550724637,0.48717948717948717,544.7,0.038461538461538464
01612420134668,Alameda,New Haven Unified,James Logan High,37.592494,-122.02604,94.1,0,3.5,4.8,37.3,55.4,0.3107476635514019,1336.0,24.2,0.9024390243902439,780.0,0.4967873831775701,428.0,0.9536723163841808,0.0,356.7,0.5914634146341463
01612590110189,Alameda,Oakland Unified,McClymonds High,37.817864,-122.27863,82.8,1,1.1,28.3,77.1,51.4,0.8039772727272727,326.0,13.9,0.8666666666666667,87.0,0.4659090909090909,176.0,0.7142857142857143,0.03333333333333333,274.7,0.7333333333333333
01612590125161,Alameda,Oakland Unified,Castlemont High,37.759536,-122.16291,45.4,1,14.0,59.4,88.0,34.6,0.8193103448275862,641.0,15.2,0.7457627118644068,229.0,0.5186206896551724,250.0,1.0,0.05084745762711865,241.7,0.7796610169491526
01612590125716,Alameda,Oakland Unified,Fremont High,37.774400,-122.20972,71.9,1,3.2,68.4,55.8,51.9,0.908745247148289,1001.0,16.8,0.821917808219178,185.0,0.44201520912547526,375.7,0.6386292834890965,0.0136986301369863,350.7,0.7808219178082192
01612590135905,Alameda,Oakland Unified,Oakland High,37.805290,-122.23652,83.0,1,3.2,25.6,72.8,62.4,0.7454084863837872,1371.0,18.3,0.826530612244898,407.0,0.4882837238758708,438.6,0.9297820823244553,0.07142857142857142,272.2,0.7653061224489796
01612590136051,Alameda,Oakland Unified,Oakland Technical High,37.831725,-122.25413,92.0,0,1.2,8.5,61.7,73.1,0.425,1037.0,18.3,0.8220338983050848,489.0,0.5196808510638298,400.0,1.1090487238979119,0.05084745762711865,494.7,0.6949152542372882
01612590137943,Alameda,Oakland Unified,Skyline High,37.797495,-122.16360,87.7,1,1.6,29.7,68.3,60.8,0.5656887755102041,1104.0,15.9,0.7719298245614035,317.0,0.48533163265306123,265.8,0.9557291666666666,0.043859649122807015,340.9,0.7280701754385965
01612750136515,Alameda,Piedmont City Unified,Piedmont High,37.823674,-122.23290,97.2,0,0.9,2.3,17.6,97.1,0.033169533169533166,27.0,17.0,0.9264705882352942,212.0,0.4950859950859951,271.3,1.0,0.3088235294117647,180.9,0.04411764705882353
01612910137588,Alameda,San Leandro Unified,San Leandro High,37.717128,-122.14256,95.1,0,0.0,12.9,39.4,41.4,0.5430780559646539,1877.0,22.6,0.9657534246575342,576.0,0.49226804123711343,421.1,1.0538922155688624,0.3835616438356164,331.2,0.1506849315068493
01613090130849,Alameda,San Lorenzo Unified,Arroyo High,37.680810,-122.13836,95.7,0,0.0,33.3,34.5,48.4,0.48698224852071004,1164.0,22.0,0.894522892597347,421.0,0.5071005917159763,414.0,1.0808080808080809,0.26413324544947525,274.7,0.16666666666666666
01613090137810,Alameda,San Lorenzo Unified,San Lorenzo High,37.686688,-122.12256,90.8,0,2.6,48.0,35.6,38.2,0.6836158192090396,1047.0,22.0,0.894522892597347,346.0,0.5230024213075061,414.0,1.2067669172932332,0.26413324544947525,274.7,0.16666666666666666
01750930132704,Alameda,Dublin Unified,Dublin High,37.720996,-121.92639,97.9,0,0.4,1.6,21.6,76.5,0.08338278931750742,281.0,23.5,0.9101123595505618,731.0,0.4572700296735905,481.4,0.8165745856353591,0.43258426966292135,299.3,0.06179775280898876
01751010130096,Alameda,Pleasanton Unified,Foothill High,37.671579,-121.91994,98.1,0,0.0,5.2,25.0,82.1,0.06948228882833787,160.0,24.0,0.8434782608695652,531.0,0.5031789282470481,440.4,1.071290944123314,0.043478260869565216,407.8,0.48695652173913045
01751010130583,Alameda,Pleasanton Unified,Amador Valley High,37.668296,-121.87327,97.1,0,0.0,4.4,30.0,84.2,0.06928492034086699,202.0,24.4,0.8823529411764706,684.0,0.50389032975176,674.8,1.024024024024024,0.051470588235294115,408.9,0.5073529411764706
03739810330753,Amador,Amador County Unified,Amador High,38.398775,-120.80970,97.1,0,0.0,36.6,32.8,40.7,0.29555895865237364,199.0,19.7,0.9487179487179487,139.0,0.4670750382848392,303.7,0.7151162790697675,0.41025641025641024,290.2,0.10256410256410256
03739810334755,Amador,Amador County Unified,Argonaut High,38.353826,-120.79177,92.9,0,0.0,14.1,43.9,41.3,0.36795774647887325,213.0,19.7,0.9142857142857143,99.0,0.4524647887323944,264.2,0.8742138364779874,0.5428571428571428,252.4,0.08571428571428572
04614080430827,Butte,Biggs Unified,Biggs High,39.416091,-121.70642,95.7,0,0.0,18.6,31.4,20.0,0.5141242937853108,91.0,13.7,0.8235294117647058,47.0,0.5084745762711864,177.0,1.394736842105263,0.7058823529411765,177.0,0.058823529411764705
04614240431676,Butte,Chico Unified,Chico High,39.735929,-121.84452,96.5,0,1.4,29.1,43.2,44.1,0.40564558285415575,1003.0,22.3,0.9626168224299065,367.0,0.4511238891792995,478.3,0.8811881188118812,0.5887850467289719,201.4,0.037383177570093455
04614240437558,Butte,Chico Unified,Pleasant Valley High,39.761160,-121.81713,92.3,0,1.2,19.2,21.9,47.5,0.327887323943662,822.0,22.0,0.9611650485436893,417.0,0.47211267605633805,355.0,0.8135922330097087,0.6699029126213593,211.3,0.009708737864077669
04614320433201,Butte,Durham Unified,Durham High,39.646267,-121.80314,92.9,0,2.4,29.3,19.2,57.7,0.3521594684385382,129.0,17.0,0.9259259259259259,84.0,0.48172757475083056,301.0,0.8518518518518519,0.4074074074074074,200.7,0.037037037037037035
04615150434803,Butte,Oroville Union High,Las Plumas High,39.480408,-121.54100,89.3,1,1.5,13.5,43.5,10.3,0.6207407407407407,1011.0,22.1,0.8846153846153846,262.0,0.4488888888888889,710.5,0.7589041095890411,0.48717948717948717,250.0,0.3076923076923077
